company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year,stage_of_startup
Ayana,2017,Bangalore,Sports,Ayana Renewable Power is an Indian renewable energy platform,"NIIF Ltd, CDC Group",390000000.0,Venture - Series Unknown,2020,Early Stage
Fisdom,2015,Bangalore,Technology,Fisdom is a fintech company that offers investment advisory services through an application.,"PayU Finance India, Quona Capital",7000000.0,Venture - Series Unknown,2020,Established
Tinker Coders,2020,Noida,Education,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,STEMROBO Technologies,3000000.0,Seed,2020,Early Stage
Infinite Uptime,2015,Pune,Technology,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",5100000.0,Series B,2020,Established
HappyLocate,2016,Bangalore,Technology,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",The CoWrks Foundry,500000.0,Pre-series A,2020,Early Stage
PhonePe,2015,New Delhi,Technology,PhonePe is a mobile payments application that allows the user to transfer money instantly.,Flipkart,700000000.0,Venture - Series Unknown,2020,Established
Loop Health,2017,Pune,Health,Loop Health is bringing ease and choice to patients seeking major medical treatments.,"Y Combinator, Sierra Ventures",2300000.0,Seed,2020,Early Stage
NeoDocs,2020,Mumbai,Health,Neodocs analyses medical reports and provides personalised health recommendations remotely.,9Unicorns Accelerator Fund,3000000.0,Pre-seed,2020,Early Stage
The ePlane,2016,Chennai,Transport,Transforming the mobility landscape using aerial transport.,Speciale Invest,3000000.0,Seed,2020,Early Stage
TagMango,2019,Mumbai,Commerce,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.","XRM Media, Kevin Lin",700000.0,Seed,2020,Early Stage
The New Shop,2019,New Delhi,Commerce,The New Shop is a chain of high speed retail stores,Huddle Accelerator,500000.0,Seed,2020,Early Stage
MobiKwik,2009,Gurgaon,Technology,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.","Hindustan Media Venture, Nicolas Jarrosson",7000000.0,Venture - Series Unknown,2020,Established
DebugsBunny,2020,Pune,Education,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,India Angel Fund,100000.0,Venture - Series Unknown,2020,Early Stage
BHIVE Investech,2014,Bangalore,Business,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,Blume Ventures,1000000.0,Seed,2020,Established
Rivigo,2014,Gurgaon,Transport,Rivigo is a technology-enabled logistics platform provider that offers transport services.,"Elevation Capital, Trifecta Capital Advisors",19000000.0,Venture - Series Unknown,2020,Established
ZipLoan,2015,New Delhi,Finance,ZipLoan is a online lending platform,"Stride Ventures, Matrix Partners India",3000000.0,Venture - Series Unknown,2020,Established
Swipez,2014,Pune,Technology,Swipez is a payment collection platform.,"9Unicorns, Anicut",3000000.0,Venture - Series Unknown,2020,Established
Humus,2019,Bangalore,Agriculture,Farmgate to Retail outlet Agri-Fresh produce supply chain,"Venture Catalysts, 9Unicorns, We Founders Circle.",3000000.0,Venture - Series Unknown,2020,Early Stage
Artivatic.ai,2017,Bangalore,Technology,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.","SenseAI Ventures, Saurabh Chugh",3000000.0,Venture - Series Unknown,2020,Early Stage
Prescinto,2016,Ahmedabad,Energy,Prescinto provides solutions for solar monitoring and analytics solutions.,"Startup incubator, Accelerator Venture Catalysts",3000000.0,Seed,2020,Early Stage
Toppeq,2019,Mumbai,Technology,SaaS-based equity management platform,Venture Catalysts,3000000.0,Seed,2020,Early Stage
Bolo Indya,2019,Gurgaon,Media & Entertainment,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.","India Accelerator, Sunil Kamath",400000.0,Venture - Series Unknown,2020,Early Stage
Bombay Play,2017,Bangalore,Manufacturing,Bombay Play is a Card and Toy Company Making games for India.,"Ramakant Sharma, Leo Capital India",1000000.0,Seed,2020,Early Stage
FreshToHome,2015,Bangalore,Commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Investment Corporation of Dubai (ICD),3000000.0,Venture - Series Unknown,2020,Established
KIKO TV,2020,Mumbai,Media & Entertainment,KIKO TV is an AI-based short live video e-commerce platform.,"9Point8 Capital, Sunil Kumar Singhvi",3000000.0,Seed,2020,Early Stage
Atomberg Technologies,2012,Mumbai,Commerce,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances","Sandeep Tandon, Survam Partners",9000000.0,Series B,2020,Established
DealShare,2018,Jaipur,Commerce,DealShare is a Social Commerce Startup,"Falcon Edge Capital, Omidyar Network",21000000.0,Series C,2020,Early Stage
Smallcase,2015,Bangalore,Technology,Changing how India invests in equities,"WEH Ventures, BEENEXT",3000000.0,Venture - Series Unknown,2020,Established
CueMath,2011,Bangalore,Education,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,"Sequoia Capital India, CapitalG",40000000.0,Series C,2020,Established
Gamerji,2018,Ahmedabad,Manufacturing,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",La Gajjar Group.,3000000.0,Seed,2020,Early Stage
5C Network,2014,Bangalore,Health,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate","Axilor Ventures, Unitus Ventures",1200000.0,Pre-series A,2020,Established
Ethereum Push Notification Service,2020,Mumbai,Technology,EPNS is a decentralized notification protocol,Prolific angel investors,750000.0,Seed,2020,Early Stage
Mihup,2016,Kolkata,Technology,Intelligence-based personal mobile assistant app,"Ideaspring Capital, Accel",1500000.0,Series A,2020,Early Stage
RuralBasket,2019,Tirunelveli,Commerce,Naturally grown and healthy products directly from farmers.,Nativelead Foundation,500000.0,Venture - Series Unknown,2020,Early Stage
WayCool Foods,2015,Chennai,Agriculture,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.","FMO, IndusInd Bank",7800000.0,Debt,2020,Established
Infra.Market,2016,Thane,Real Estate,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,"Trifecta Capital Advisors, Nexus Venture Partners",20000000.0,Series B,2020,Early Stage
Info Edge Venture,1995,Noida,Technology,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",Lightbox,50000000.0,Venture - Series Unknown,2020,Established
Clovia,2013,Noida,Commerce,Clovia is the online lingerie retailer,"Golden Birch Investments, She Capital",4000000.0,Pre-series C,2020,Established
Codingal,2020,Bangalore,Education,Coding education platform for K-12 students,"Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",560000.0,Seed,2020,Early Stage
CRED,2018,Bangalore,Finance,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,"General Catalyst, Ribbit Capital",80000000.0,Series C,2020,Early Stage
Vistaar Finance,2010,Bangalore,Finance,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,FMO,30000000.0,Venture - Series Unknown,2020,Established
Let's Dive,2020,Bangalore,Technology,A platform for remote employee engagement and building team culture,Surge,1700000.0,Venture - Series Unknown,2020,Early Stage
Habitat,2016,Bangalore,Education,"Habitat, a social learning edtech platform for civil service aspirants","Unitus Ventures, Whiteboard Capital",600000.0,Seed,2020,Early Stage
SAWO Labs,2020,Mumbai,Technology,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,"StartupXseed Ventures, 100X.VC",600000.0,Seed,2020,Early Stage
Signzy,2015,Bangalore,Technology,Signzy are creating 'building blocks for a Digital Trust system.,"Stellaris Venture Partners, Mastercard",3000000.0,Venture - Series Unknown,2020,Established
KopyKitab,2013,Bangalore,Education,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.","Paula Mariwala, Siddharth Anand",3000000.0,Venture - Series Unknown,2020,Established
Kyt,2020,Singapore,Education,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,Sequoia Capital India’s Surge,2500000.0,Venture - Series Unknown,2020,Early Stage
Raskik,2019,Bangalore,Transport,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,"Venture Catalysts, 9Unicorns",1000000.0,Pre-series A,2020,Early Stage
GetWork,2019,Gurugram,Business,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,India Accelerator,40000.0,Pre-seed,2020,Early Stage
Mobile Premier League (MPL),2018,Bangalore,Manufacturing,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Pegasus Tech Ventures, Base Partners",500000.0,Series B,2020,Early Stage
Pravasirojgar,2020,Bangalore,Business,Initiative for blue-collar job workers,GoodWorker.,33000000.0,Venture - Series Unknown,2020,Early Stage
Omatra Hotels,2017,Kolkata,Hospitality,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,Capify,3000000.0,Seed,2020,Early Stage
Awign,2016,Bangalore,Business,Operations and manpower outsourcing startup,"Unitus Ventures, Work10M",3000000.0,Pre-series B,2020,Early Stage
NewsReach,2018,Gujarat,Media & Entertainment,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,"Mumbai Angels, JITO Angel Network.",1500000.0,Seed,2020,Early Stage
Cashfree,2015,Bangalore,Technology,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,"George Osborne, Smilegate Investment",35000000.0,Series B,2020,Established
Credgenics,2018,New Delhi,Technology,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Accel India, Breadlake Ventures",3000000.0,Pre-series A,2020,Early Stage
GeoIQ,2018,Bangalore,Technology,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.","Ankur Mittal, Mitesh Shah",300000.0,Seed,2020,Early Stage
Country Delight,2015,Haryana,Agriculture,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"IIFL Asset Management, Matrix Partners",25000000.0,Series C,2020,Established
Quintype,2014,Bangalore,Business,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",IIFL AMC,3500000.0,Series A,2020,Established
CARS24,2015,Haryana,Commerce,CARS24 is an India-based platform for selling used cars.,"Global Car Group, Freemark holdings",200000000.0,Series E,2020,Established
Astrogate Labs,2017,Bangalore,Technology,Astrogate Labs provides high-quality products related to space infrastructure.,"Venture Catalysts, Speciale Invest",3000000.0,Venture - Series Unknown,2020,Early Stage
Power Gummies,2018,New Delhi,Health,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Venture Catalysts,3000000.0,Bridge,2020,Early Stage
Cityflo,2015,Mumbai,Transport,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,"Anupam Mittal, India Quotient",7000000.0,Series A,2020,Established
AlgoBulls,2019,Mumbai,Technology,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,Venture Catalysts,200000.0,Venture - Series Unknown,2020,Early Stage
Credgenics,2018,Gurugram,Technology,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Accel India, Breadlake Ventures",3000000.0,Pre-series A,2020,Early Stage
Inntot,2014,Kerala,Technology,"Inntot Technologies, is a technology driven company.",Unicorn India Ventures,3000000.0,Venture - Series Unknown,2020,Established
Ensuredit,2019,Gurugram,Technology,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,Venture Catalysts,300000.0,Pre-series A,2020,Early Stage
Shipsy,2015,Gurugram,Technology,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,"DTDC, Udaan Angel Partners",6000000.0,Series A,2020,Established
ERPNext,2008,Mumbai,Technology,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",Rainmatter,1000000.0,Venture - Series Unknown,2020,Established
LightSpeedAI,2019,Bangalore,Technology,Developer of an optoelectronic processor designed to accelerate AI computations.,"YourNest, growX ventures",3000000.0,Venture - Series Unknown,2020,Early Stage
Grip Invest,2020,Gurugram,Technology,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,Gemba Capital,3000000.0,Pre-series A,2020,Early Stage
Unacademy,2015,Bangalore,Education,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,"Dragoneer Investment Group, Tiger Global Management",3000000.0,Venture - Series Unknown,2020,Established
Yellow Classes,2020,Gurugram,Education,New-age fun-learning platform for kids.,India Quotient,1300000.0,Pre-series A,2020,Early Stage
Plum,2019,Bangalore,Health,High quality health insurance and health benefits,"Surge, Tanglin Venture Partners",4100000.0,Venture - Series Unknown,2020,Early Stage
STAGE,2019,Indore,Media & Entertainment,STAGE is an Indian language content platform for artist-led entertainment.,Venture Catalysts,1000000.0,Venture - Series Unknown,2020,Early Stage
Nykaa,2012,Mumbai,Beauty & Fashion,Nykaa is an online marketplace for different beauty and wellness products.,"Alia Bhatt, Katrina Kaif",3000000.0,Venture - Series Unknown,2020,Established
Kaagaz Scanner,2020,New Delhi,Technology,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,Pravega Ventures,575000.0,Venture - Series Unknown,2020,Early Stage
NIRA,2017,Bangalore,Technology,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.","Techstars Bangalore Accelerator, Techstars",1000000.0,Venture - Series Unknown,2020,Early Stage
Prolixr,2018,Gurugram,Beauty & Fashion,A premium skincare brand committed towards building innovative skin care wellness.,"Alfa Ventures, Divij Bajaj",3000000.0,Seed,2020,Early Stage
Byju's,2011,Bangalore,Education,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Owl Ventures, Tiger Global Management",200000000.0,Venture - Series Unknown,2020,Established
DaMENSCH,2018,Bangalore,Commerce,DaMENSCH is a designer and seller of men's apparel.,"Whiteboard Capital, Matrix Partners India",6000000.0,Venture - Series Unknown,2020,Early Stage
Country Delight,2015,Haryana,Transport,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Orios Venture Partners, Matrix Partners India",25000000.0,Series C,2020,Established
SignalX,2018,Hyderabad,Technology,SignalX offers an artificial intelligence-powered SaaS platform,"9Unicorns, 3Lines VC, Hyderabad Angels",800000.0,Seed,2020,Early Stage
Lancify,2018,Bangalore,Education,Lancify is building the world's strongest young workforce,"Techstars, Techstars Bangalore Accelerator",300000.0,Venture - Series Unknown,2020,Early Stage
Krimanshi,2015,Jodhpur,Health,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,"Rajasthan Venture Capital Fund, AIM Smart City",600000.0,Seed,2020,Established
Instoried,2018,Bangalore,Technology,Instoried is an augmented writing platform which improves customer interest and engagement.,"Venture Catalysts, SOSV",1000000.0,Pre-series A,2020,Early Stage
PlayerzPot,2015,Mumbai,Manufacturing,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes","Pegasus Tech Ventures, Base Partners",3000000.0,Series A,2020,Established
Instamojo,2012,Bangalore,Technology,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.","BASE, Gunosy Capital",3000000.0,Venture - Series Unknown,2020,Established
Turtlemint,2015,Mumbai,Health,Turtlemint has built Indian personalized insurance platform,"Nexus Venture Partners, Dream Incubator",30000000.0,Venture - Series Unknown,2020,Established
Arata,2017,New Delhi,Commerce,Arata is an e-commerce site for beauty products and cosmetics.,DSG Consumer Partners,1000000.0,Pre-series A,2020,Early Stage
MPL,2018,Bangalore,Manufacturing,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Pegasus Tech Ventures, Base Partners",5000000.0,Venture - Series Unknown,2020,Early Stage
True Balance,2014,Gurugram,Technology,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,"IBK Capital, SB Partners",28000000.0,Venture - Series Unknown,2020,Established
Thrive,2020,Mumbai,Food & Beverages,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.","Whiteboard Capital, Ahimsa Capital",3000000.0,Pre-series A,2020,Early Stage
Kitchens Centre,2019,New Delhi,Technology,Kitchens Centre offers turnkey solutions to cloud kitchens.,"Jonathan Swanson, Ankush Gera",3000000.0,Pre-series A,2020,Early Stage
Prescribe,2019,Chennai,Health,Provide online services to patients by leveraging WhatsApp.,Titan Capital,100000.0,Venture - Series Unknown,2020,Early Stage
Nepra,2006,Ahmedabad,Technology,NEPRA Resource Management provides waste management solutions in India.,"Asha Impact, Aavishkaar Venture Capital",18000000.0,Series C,2020,Established
inFeedo,2013,Gurugram,Technology,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.","Peyush Bansal, Ritesh Malik",3200000.0,Venture - Series Unknown,2020,Established
Shilpa Sciences,2014,Bangalore,Health,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,AngelList India,3000000.0,Pre-series A,2020,Established
Arzooo,2016,Bangalore,Technology,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product","3Lines, Jabbar Internet Group",3000000.0,Venture - Series Unknown,2020,Early Stage
MindTickle,2011,Pune,Technology,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,"Canaan Partners, NewView Capital",100000000.0,Debt,2020,Established
Slice,2016,Bangalore,Technology,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,"Better Capital, Gunosy",5000000.0,Debt,2020,Early Stage
Rapawalk,2017,Bangalore,Commerce,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,"Sanjay Ramakrishnan, Ravi Garikipati",300000.0,Seed,2020,Early Stage
Oga Fit's,2017,Bangalore,LifeStyle,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,9Unicorns,3000000.0,Pre-series A,2020,Early Stage
LAVAL,2016,Bangalore,Beauty & Fashion,"Laval Cosmetics, affordable makeup for all ages",Jazal Group,3000000.0,Pre-series A,2020,Early Stage
Stride Ventures,2019,New Delhi,Technology,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,Small Industries Development Bank of India,80000000.0,Venture - Series Unknown,2020,Early Stage
BlackSoil,2016,Mumbai,Technology,Blacksoil Advisory is an independent boutique advisory firm.,Venture Catalysts,10000000.0,Venture - Series Unknown,2020,Early Stage
Biocon,1978,Bangalore,Health,"Biocon is a healthcare and technology, company focused on biotechnology.",Goldman Sachs,15000000.0,Venture - Series Unknown,2020,Established
Clientjoy,2013,Gujarat,Technology,Client Management Software For Modern Agencies.,"LetsVenture, Jyotsna Bapat",800000.0,Pre-series A,2020,Established
Xpressbees,2015,Pune,Commerce,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,"Alibaba Group, InnoVen Capital",100000000.0,Venture - Series Unknown,2020,Established
GalaxyCard,2017,Gurugram,Technology,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,India Accelerator,3000000.0,Seed,2020,Early Stage
Wellness Forever,2008,Mumbai,Health,Wellness Forever is the one-stop destination for wellness,"Poonawalla, Allana Group",100000000.0,Venture - Series Unknown,2020,Established
MoooFarm,2019,Gurugram,Agriculture,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,"Navus Ventures, Rockstart",500000.0,Pre-seed,2020,Early Stage
BitClass,2020,Bangalore,Technology,BitClass is a PaaS solution which helps teachers set up their independent live classes,"AET Japan, Figure Eight Investments, Waterbridge Ventures",2000000.0,Seed,2020,Early Stage
Gonuts,2020,Mumbai,Media & Entertainment,Personalised Video shoutouts from favourite celebrity.,"Sweta Rau, Archana Priyadarshini",400000.0,Seed,2020,Early Stage
Uolo,2013,Bangalore,Education,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,"Rajul Garg, Purvi Capital",2000000.0,Seed,2020,Established
Kirana King,2014,Jaipur,Commerce,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",Rajasthan Venture Capital Fund,900000.0,Pre-series A,2020,Established
